sample_date,sample_time,sampling_site,air_temperature,weather,wind_direction,wind_speed,barometeric_pressure,water_temperature,ph,dissolved_oxygen,conductivity,total_dissolved_solids,salt_ppt,aphanizomenon,dolichospermum,microcystis,planktothrix,raphidiopsis,woronichinia,general_comments,secchi
2026-09-04,12:01:00,Site #3 - Lacamas Shores Boat Launch,19,Partly Cloudy,N,0-5,754.2,22.4,7.5,6.7,133.1,66.6,0.06,Yes,Yes,Yes,No,No,No,3 ft. Other cyanos,
2026-09-03,11:00:00,Site #4 - Round Lake,18.2,Partly Cloudy,S,0-5,752.8,20.6,7.7,4.6,129.2,64.7,0.06,No,No,No,No,No,No,other ciliates,
2026-09-10,11:40:00,Site #2 - Heritage Boat Launch,22.6,Partly Cloudy,N,0-5,759,21.6,7.8,8.3,132.2,66.1,0.06,Yes,Yes,No,No,No,No,Secchi 140cm.  Trawl full of all,
2026-09-10,5:00:00,Site #3 - Lacamas Shores Boat Launch,22,Partly Cloudy,NW,5-10,754.9,21.8,7.9,9.6,132.9,66.5,0.06,Yes,Yes,No,No,No,No,other Ciliates. Secchi @ 2.5 ft,
2026-09-10,11:00:00,Site #4 - Round Lake,21.2,Partly Cloudy,S,0-5,758,21.1,7.8,6,131.9,65.9,0.06,No,No,No,No,No,No,other Ciliates,
2021-06-10,17:15:00,Site #3 - Lacamas Shores Boat Launch,21.8,Mostly Cloudy,NW,0-5,759.3,19.4,8.81,6.8,112,56,,No,Yes,No,No,No,,,
2026-07-23,8:45:00,Site #1 - East Boat Launch,18.5,Cloudy,NW,5-10,759.6,25,6.47,8.7,104.5,52.3,0.05,No,No,Yes,No,Yes,No,"I am not certain about my IDs, in general, there was not much in the water, less than previous weeks.",
2021-06-17,10:15:00,Site #2 - Heritage Boat Launch,24,Sunny,,0-5,,20.1,8.8,6.2,126,63,,No,No,No,No,No,,"I am sending photos to Rodger - I didnt have anything in my normal sample, but lots in the trawl!",
2021-06-17,17:15:00,Site #3 - Lacamas Shores Boat Launch,26.3,Sunny,NE,0-5,757.6,23.1,8.6,5.2,120,60,,No,No,No,No,No,,,
2026-07-10,8:40:00,Site #1 - East Boat Launch,15,Sunny,W,0-5,755.8,22.2,6.92,6.6,97.3,48.7,0.05,No,No,No,No,No,No,,
2021-06-24,12:45:00,Site #2 - Heritage Boat Launch,26,Sunny,,0-5,,24.2,9.02,6.2,138,69,,No,No,Yes,No,No,,Depth Visibility 198.12,
2021-06-24,15:14:00,Site #3 - Lacamas Shores Boat Launch,27.1,Sunny,NW,5-10,761.1,26.4,8.59,9,140,70,,No,No,No,No,No,,"Warm weather, water cloudy maybe from boat wake. No target species found.",
2026-06-11,8:35:00,Site #1 - East Boat Launch,7.8,Sunny,SE,0-5,760.9,18.6,8.51,8.1,90.2,45.1,0.04,No,Yes,No,No,No,No,,
2021-07-01,13:45:00,Site #3 - Lacamas Shores Boat Launch,25.1,Cloudy,E,0-5,761.6,26.8,9.3,9,146,73,,No,No,No,No,No,,Water was calm. Test taken after extreme heat event. No target species found.,
2021-07-03,11:45:00,Site #2 - Heritage Boat Launch,25.6,Mostly Cloudy,,0-5,,24,9.06,3.6,142,71,,No,No,No,No,No,,,
2026-06-04,8:40:00,Site #1 - East Boat Launch,13.9,Partly Cloudy,W,0-5,761.8,20.5,8.38,7.4,88.2,44.1,0.04,No,No,No,No,No,No,,
2021-07-08,17:30:00,Site #3 - Lacamas Shores Boat Launch,24.6,Sunny,NW,0-5,756.3,25.1,8.5,5.2,132,67,,Yes,Yes,No,No,Yes,,"Microscope camera not working, but I’m very confident in the id of 3 target species present in very small quantities. Rodger, do you have a spare microscope camera and microscope bulb? My bulb is dying.",
2021-07-09,13:00:00,Site #2 - Heritage Boat Launch,23,Sunny,,0-5,761,23.6,8.8,3.2,142,71,,No,Yes,No,No,No,,Additional photos are from the concentrated sample.,
2026-05-28,8:30:00,Site #1 - East Boat Launch,13.9,Sunny,SW,0-5,751.9,19.7,7.76,7.2,87.4,43.7,0.04,No,Yes,No,No,No,No,,
2021-07-15,13:30:00,Site #3 - Lacamas Shores Boat Launch,21,Sunny,N,0-5,758.1,24.2,8.7,5.6,134,67,,No,No,No,No,No,,,
2026-05-21,8:40:00,Site #1 - East Boat Launch,12.8,Sunny,S,0-5,759.7,17.9,8.19,7.4,84.7,42.4,0.04,No,Yes,No,No,No,No,,
2021-07-22,15:19:00,Site #2 - Heritage Boat Launch,31.8,Sunny,SW,0-5,762,25.6,8.9,6.2,137,67,,No,No,No,No,No,,"This was Elise & Darren Alexander, our 1st entry!",
2021-07-24,14:10:00,Site #3 - Lacamas Shores Boat Launch,31.1,Sunny,E,5-10,,24.2,8.8,3.2,148,74,,No,No,No,No,No,,All photos from concentrated sample,
2026-05-14,5:08:00,Site #1 - East Boat Launch,16.1,Rain,SW,0-5,761.9,18,7.95,7.7,83.6,41.8,0.04,No,No,No,No,No,No,,
2021-07-29,16:20:00,Site #2 - Heritage Boat Launch,27.5,Partly Cloudy,W,0-5,755,25.2,9.1,6.4,142,71,,No,No,No,No,No,,Elise & Darren Alexander took the sample,
2021-07-29,11:45:00,Site #3 - Lacamas Shores Boat Launch,26.3,Sunny,E,0-5,760,24.8,9.3,6.1,148,74,,,,,,,,,
2026-05-07,8:40:00,Site #1 - East Boat Launch,11.1,Partly Cloudy,W,0-5,760.5,17.2,7.74,7.8,78.7,39.4,0.04,No,No,No,No,No,No,"Trawl sample had elevated asterallia, flagillaria, and some dinoflagellates",
2021-08-05,15:24:00,Site #2 - Heritage Boat Launch,25,Mostly Cloudy,NW,0-5,757,26.2,9.6,7.1,154,59,,No,No,No,No,No,,Elise & Darren Alexander,
2021-08-05,14:07:00,Site #3 - Lacamas Shores Boat Launch,25.3,Cloudy,NW,0-5,760,27.4,9.4,3.4,115,77,,No,Yes,No,No,No,,Samples taken and processed by Rodger Hauge.,
2026-04-30,9:40:00,Site #1 - East Boat Launch,20.6,Partly Cloudy,SW,0-5,758.8,15.5,7.6,8.1,74.8,37.4,0.03,No,No,No,No,No,No,,
2021-08-12,14:11:00,Site #2 - Heritage Boat Launch,32.2,Sunny,NW,0-5,755,28,9.3,6.8,160,82,,No,No,No,No,No,,Elise & Darren Alexander,
2021-08-12,11:00:00,Site #3 - Lacamas Shores Boat Launch,30,Sunny,NW,0-5,755.6,25.6,9.25,4.3,156,79,,No,Yes,No,No,No,,,
2026-04-23,8:45:00,Site #1 - East Boat Launch,9.4,Partly Cloudy,W,0-5,762.9,12.8,7.31,7,74.1,37.1,0.03,No,No,No,No,No,No,,
2021-08-19,15:42:00,Site #2 - Heritage Boat Launch,24.1,Sunny,NW,0-5,757,24.6,8.4,7,152,77,,No,Yes,No,No,No,,Elise & Darren Alexander,
2026-04-16,8:40:00,Site #1 - East Boat Launch,4.4,Partly Cloudy,W,0-5,763.5,11.4,7.21,8,77.1,38.6,0.03,No,No,No,No,No,No,Centric & Pennate diatoms noted.,
2021-08-26,15:15:00,Site #2 - Heritage Boat Launch,23.6,Mostly Cloudy,N,0-5,760,23.6,8.5,6.7,148,74,,No,Yes,No,No,No,,,
2021-08-26,14:30:00,Site #3 - Lacamas Shores Boat Launch,21.6,Mostly Cloudy,,0-5,,21,8.8,9,148,74,,Yes,Yes,No,No,No,,Other photos are from the concentrated sample.,
2021-08-26,13:35:00,Site #4 - Round Lake,21.1,Partly Cloudy,W,0-5,760,22.4,9.3,5.3,140,69,,No,Yes,Yes,No,No,,Dolichospermum and Microcystis identified in protocol sample. Abundance slide showed negative. Dolichospermum < 25 per 60.,
2026-04-09,5:00:00,Site #1 - East Boat Launch,24.4,Sunny,E,0-5,732.3,13.1,8.9,13.1,80.2,40.1,0.03,No,No,No,No,No,No,trawl with Centric. Water clear with chunky moss,
2021-09-02,15:26:00,Site #2 - Heritage Boat Launch,24.4,Sunny,NW,0-5,757,21.8,8,8,477,68,,No,Yes,No,Yes,No,,,
2026-03-12,15:30:00,Site #1 - East Boat Launch,7.2,Rain,NW,0-5,764.6,8.9,7.4,6.4,60.2,30.2,0.02,No,No,No,No,No,No,Pennate diatom noted,
2021-09-09,14:50:00,Site #2 - Heritage Boat Launch,26.6,Partly Cloudy,NW,0-5,755,24.8,8.5,8.3,156,77,,No,Yes,No,No,No,,Lake did not seem as green as previous week,
2021-09-09,14:39:00,Site #3 - Lacamas Shores Boat Launch,32,Mostly Cloudy,W,0-5,760,25.7,8.75,7.8,156,77,,No,Yes,No,No,No,,Dolichospermum noted in protocol sample. Abundance slide showed 20/60. Not elevated at this time.,
2021-09-09,15:12:00,Site #4 - Round Lake,26.6,Partly Cloudy,NW,0-5,755,25,8.6,,150,76,,No,Yes,No,No,No,,Pictures uploaded with Heritage Boat Launch data,
2026-03-05,8:30:00,Site #1 - East Boat Launch,7.2,Cloudy,SW,0-5,765.2,9.1,7.2,6.3,69.5,34.8,0.03,No,No,No,No,No,No,Water clear around dock.,
2021-09-16,15:15:00,Site #2 - Heritage Boat Launch,21,Sunny,NW,0-5,757,19,8.2,7,144,73,,No,Yes,No,No,No,,"Lake Level drawdown started, level ~1m below previous level on bank. Slight odor",
2021-09-16,14:10:00,Site #3 - Lacamas Shores Boat Launch,22.2,Sunny,SE,5-10,762,23,8.1,8.8,150,74,,No,Yes,No,No,No,,Target species identified. Not elevated.,
2026-02-26,8:45:00,Site #1 - East Boat Launch,3.9,Sunny,NE,0-5,766.34,7.6,7.4,6.2,67.6,33.9,0.03,No,No,No,No,No,No,Pennate diatom. Woronichi in trawl,
2021-09-23,15:20:00,Site #2 - Heritage Boat Launch,21.4,Sunny,NW,0-5,763,18.6,8.3,7.5,144,72,,No,Yes,No,No,Yes,,Lake level ~2-3 m down from normal level due to annual draining,
2021-09-23,14:00:00,Site #3 - Lacamas Shores Boat Launch,23.4,Sunny,NE,0-5,763.3,23.9,6.37,10.3,150,71,,No,No,Yes,No,No,,Lacamas Lake level low due to dam open for cleaning. Water testing done in shallow water about 4 to 5 inches deep.,
2021-09-29,14:30:00,Site #2 - Heritage Boat Launch,19.2,Mostly Cloudy,NW,0-5,761,17.6,7.7,8.2,144,71,,No,Yes,No,No,No,,"Lake Level is down 3-4m, light scum visible",
2021-09-29,15:00:00,Site #4 - Round Lake,18.8,Mostly Cloudy,NW,0-5,761,17.8,7.4,,132,69,,No,Yes,No,No,No,,"Lake level is down, scum seen at several locations around lake",
2026-02-17,16:39:00,Site #1 - East Boat Launch,7.2,Partly Cloudy,W,0-5,752.7,7.7,7.3,7.2,72.7,,0.03,No,No,No,No,No,No,Water green brown. Other zoopk in trawl,
2021-09-30,14:21:00,Site #3 - Lacamas Shores Boat Launch,17.6,Rain,NW,0-5,767,16,9.3,4.9,138,68,,No,Yes,No,No,No,,Low lake water. Dolichospermum noted in protocol sample. Not elevated at this time. 22 cells out of 64 on abundance slide.,
2026-01-15,16:15:00,Site #1 - East Boat Launch,13.9,Sunny,NW,0-5,764.9,7.5,6.7,,68.6,34.4,0.02,No,No,No,No,No,No,Pennate Diatoms noted,
2021-10-07,14:11:00,Site #2 - Heritage Boat Launch,16,Sunny,N,0-5,759,15.8,8.2,9.6,136,68,,No,Yes,No,No,No,,Lake Level is down,
2021-10-07,12:30:00,Site #3 - Lacamas Shores Boat Launch,14,Cloudy,NE,5-10,760.9,15,6.8,6.5,130,10.6,,Elevated,Elevated,No,No,Yes,,Water level is low due to dam release for gate cleaning.,
2021-10-07,14:57:00,Site #4 - Round Lake,15.7,Sunny,N,0-5,759,14.2,8.1,10.5,132,66,,Yes,Yes,Yes,No,No,,"Lake level is down, large amount of scum in sampling area",
2026-01-08,8:30:00,Site #1 - East Boat Launch,4.4,Partly Cloudy,E,0-5,767.3,7.3,6.5,5.7,69.2,34.9,0.02,No,No,No,No,No,Yes,Water clear and High level.,
2021-10-14,14:30:00,Site #2 - Heritage Boat Launch,15.8,Rain,N,0-5,762,13.2,8.2,10.8,130,62,,No,Yes,No,No,No,,Lake level several meters down,
2021-10-14,14:00:00,Site #3 - Lacamas Shores Boat Launch,16.5,Cloudy,NE,0-5,764.6,12.6,8.5,11.9,124,62,,No,No,No,No,Elevated,,Water was lowest level yet from dam release. Both shallow water sample at 5 inches and deeper water sample at 10 inches results showed Raphidiopsis spp.,
2021-10-14,14:00:00,Site #3 - Lacamas Shores Boat Launch,16.5,Cloudy,NE,0-5,764.6,12.6,8.5,11.9,124,62,,No,Yes,No,No,No,,This is a correction form to the one submitted on 10/14/21. Corrected Cyanobacteria siting from Raphidiopsis to Dolichospermumj.,
2021-10-14,14:56:00,Site #4 - Round Lake,12.3,Rain,N,0-5,765,12,7.7,8.2,114,57,,No,Yes,No,No,No,,Lake level several meters down,
2021-10-20,14:58:00,Site #2 - Heritage Boat Launch,17.9,Mostly Cloudy,N,0-5,757,14,8.5,8.1,136,64,,No,Yes,No,No,No,,Lake levels still down,
2021-10-20,15:15:00,Site #4 - Round Lake,17.7,Mostly Cloudy,N,0-5,757,13.2,17.7,7.2,118,58,,No,Yes,No,No,No,,Lake level still down,
2025-11-06,9:00:00,Site #1 - East Boat Launch,12.8,Cloudy,E,0-5,756.2,11.4,6,3.9,107.5,54,0.05,No,No,No,No,No,No,Trawl with Woronch & Planko,
2021-10-21,14:00:00,Site #3 - Lacamas Shores Boat Launch,20.4,Cloudy,E,5-10,715.3,14,6.76,10.4,12.6,62,,No,Elevated,No,No,No,,Lacamas Lake is still low level. Using the trawl water level is approximately 20.32 cm.,
2025-10-30,12:00:00,Site #1 - East Boat Launch,13.9,Cloudy,E,10-15,,,,,,,,,,,,,,,
2021-10-28,11:15:00,Site #2 - Heritage Boat Launch,16.8,Rain,W,0-5,765,11.8,8.2,3.5,120,60,,No,Yes,No,No,No,,Dolichespurmum noted in protocol sample. 5 cells out of 64 on abundance slide. Not elevated at this time.,
2021-10-28,14:00:00,Site #3 - Lacamas Shores Boat Launch,18.9,Mostly Cloudy,E,5-10,759.4,13,9.2,10.2,126,63,,No,Elevated,No,No,No,,Water level high. Dam gates are closed. Dolichospermum is lysing. Trowll level at 60.96 cm deep.,
2021-10-28,10:30:00,Site #4 - Round Lake,16,Rain,W,0-5,765,11.6,9.1,3.8,114,58,,No,Yes,No,No,No,,Dolichespurmum noted in protocol sample. 4 cells out of 64 on abundance slide. Not elevated at this time.,
2023-01-12,12:30:00,Site #3 - Lacamas Shores Boat Launch,11.4,Cloudy,SE,,754,7.4,9,8.8,56,28,,No,No,No,No,No,,,
2025-10-23,13:30:00,Site #1 - East Boat Launch,18.9,Cloudy,NE,0-5,758,15.7,6.3,5.8,117.2,58.7,0.05,No,No,No,No,No,No,"Trawl: Dolico, Woroni, Voluta",
2021-11-04,15:09:00,Site #2 - Heritage Boat Launch,21.7,Rain,N,0-5,755,10.2,8.3,10.1,92,47,,No,No,No,No,No,,"The air temperature may not be accurate, meter had been inside my jacket because of the rain",
2021-11-04,14:00:00,Site #3 - Lacamas Shores Boat Launch,15.2,Rain,W,0-5,754.8,10,9.71,8.5,104,52,,No,Yes,No,No,No,,"Lacamas Lake dam gates closed and with rain, water level high. One bright green Dolichospermum noted from trowl collected water at about 3 1/2 feet.",
2021-11-04,14:00:00,Site #3 - Lacamas Shores Boat Launch,15.2,Rain,W,0-5,754.8,10,9.7,8.5,104,52,,No,No,No,No,No,,This is a corrected data sheet to identify Pediastrum and not Dolichospermum.,
2021-11-04,15:28:00,Site #4 - Round Lake,15.5,Rain,N,0-5,757,9,7.9,9.1,104,53,,No,No,No,No,No,,Lake level back to near normal,
2025-10-16,14:00:00,Site #1 - East Boat Launch,16.6,Cloudy,No wind,0-5,762,15.7,6.3,5.9,117.6,59.1,0.05,No,Yes,No,No,No,No,"Still low level. Other cyanos.  Trawl: Worch, Diloch, and cyanos",
2021-11-11,13:06:00,Site #2 - Heritage Boat Launch,14.4,Rain,S,0-5,764,9,8.3,11.9,96,48,,No,No,No,No,No,,,
2021-11-11,14:00:00,Site #3 - Lacamas Shores Boat Launch,13.5,Rain,E,5-10,762,8.9,6.6,11.6,102,51,,No,No,No,No,No,,,
2021-11-11,13:23:00,Site #4 - Round Lake,12.6,Rain,S,0-5,763,8.2,7.9,6.2,90,43,,No,No,No,No,No,,,
2025-10-10,14:30:00,Site #1 - East Boat Launch,17.8,Cloudy,No wind,0-5,754,17.6,6.7,6.4,118.4,59.5,0.05,No,Yes,No,No,No,Yes,Trawl had Dolico & Woronich.,
2021-11-18,14:10:00,Site #2 - Heritage Boat Launch,13.4,Cloudy,N,0-5,754,10.2,8.5,12.1,72,36,,No,No,No,No,No,,,
2021-11-18,15:00:00,Site #3 - Lacamas Shores Boat Launch,11.1,Rain,SE,0-5,752.2,8,6.8,11.1,70,35,,No,Yes,No,No,No,,"After speaking with Rodger Hauge, theres one picture thats possibly Dolichospermum. Other pictures have green algae, rotifer, fritillaria. The pH instrument did not work on the day of test and was subsequently tested on 11/19/21 @ 7:00am",
2021-11-18,14:25:00,Site #4 - Round Lake,11.2,Rain,N,0-5,754,8.2,8.1,7.5,64,29,,No,No,No,No,No,,,
2025-09-26,11:30:00,Site #1 - East Boat Launch,18,Sunny,W,0-5,762,20.6,6.6,5.3,117.8,58.9,0.05,No,No,No,No,No,No,"Trawl-Aphanz, Dolico, Woron, Centric diatoms",
2021-11-24,14:00:00,Site #3 - Lacamas Shores Boat Launch,10.1,Mostly Cloudy,NE,0-5,768,6.8,6.8,11.4,66,6.8,,No,No,No,No,No,,Water level high and very turbid. Trawl level at 20.3 cm.,
2021-11-25,13:24:00,Site #2 - Heritage Boat Launch,15.5,Partly Cloudy,S,0-5,764,8.2,8.4,7,72,34,,No,No,No,No,No,,,
2021-11-25,14:20:00,Site #4 - Round Lake,15.5,Partly Cloudy,S,0-5,764,8.2,8.5,9.6,68,35,,No,No,No,No,No,,,
2021-12-01,14:00:00,Site #2 - Heritage Boat Launch,17,Sunny,,0-5,762,10.8,8.1,10.1,72,35,,No,No,No,No,No,,No wind,
2021-12-01,13:38:00,Site #4 - Round Lake,17.6,Sunny,,0-5,763,10.2,8.4,11.3,72,34,,No,No,No,No,No,,No Wind,
2025-09-19,13:30:00,Site #1 - East Boat Launch,24,Sunny,None,0-5,754,21.7,6.73,5.4,118.6,59.3,0.05,No,No,No,No,No,No,Water level down. Trawl had Dolico & Aphan.,
2021-12-02,14:00:00,Site #3 - Lacamas Shores Boat Launch,14.4,Cloudy,NE,0-5,765,6.6,7.3,11.2,48,6.9,,No,No,No,No,No,,Water level high. Wind gusts while testing up to 6-10. Increased clouds. Trawl depth at 30.38 cm. Minimal algae found. Zooplankton seen. Filamentous algae noted.,
2025-09-11,12:00:00,Site #1 - East Boat Launch,16.7,Cloudy,None,0-5,757,22.1,6.5,4.8,118.3,59.4,0.05,No,No,No,No,No,No,"Trawl had Aphion, Dolico & Woronichi",
2021-12-09,14:22:00,Site #2 - Heritage Boat Launch,8.7,Rain,,0-5,758,7,8.6,9.9,58,31,,No,No,No,No,No,,,
2021-12-09,14:00:00,Site #3 - Lacamas Shores Boat Launch,3.8,Rain,N,0-5,757,6.8,7.5,6.8,48,7.1,,No,No,No,No,No,,Water is murky. No target species identified.,
2021-12-09,14:38:00,Site #4 - Round Lake,8.7,Cloudy,,0-5,758,5.2,8.7,12.3,60,30,,No,No,No,No,No,,,
2025-09-04,9:00:00,Site #1 - East Boat Launch,17.8,Partly Cloudy,W,0-5,755,23.7,6.9,4.2,117.1,58.6,0.05,No,Yes,No,No,No,No,Dolico very fragmented.,
2021-12-16,14:30:00,Site #2 - Heritage Boat Launch,8.2,Cloudy,,0-5,760,5.2,8.8,10.7,25,46,,No,No,No,No,No,,,
2021-12-16,14:30:00,Site #3 - Lacamas Shores Boat Launch,6.1,Cloudy,W,0-5,757.1,5.8,8.8,8.2,52,7.1,,No,No,No,No,No,,Calm water with a light sprinkle of rain. No target species identified.,
2021-12-16,14:46:00,Site #4 - Round Lake,8.2,Cloudy,,0-5,760,4.2,8.3,11.8,54,27,,No,No,No,No,No,,,
2025-08-28,8:30:00,Site #1 - East Boat Launch,16.1,Partly Cloudy,W,0-5,753.7,25.1,7.1,4.9,115.6,57.9,0.06,No,Yes,No,No,No,No,"Dinflags noted. Water level a little higher, clear around dock.",
2021-12-23,10:21:00,Site #2 - Heritage Boat Launch,6.5,Partly Cloudy,,0-5,748,5.2,8.7,11.9,46,23,,No,No,No,No,No,,,
2021-12-23,14:00:00,Site #3 - Lacamas Shores Boat Launch,11.3,Partly Cloudy,NW,0-5,746,5.8,9.2,8.9,50,24,,No,No,No,No,No,,Lacamas Lake dam gates are open to release water and prevent flooding. No target species identified.,
2025-08-20,8:20:00,Site #1 - East Boat Launch,18.3,Cloudy,W,0-5,761.2,23.1,9.4,5.6,114.4,50.6,0.06,No,Yes,No,No,No,No,Trawl had Fragi,
2021-12-30,14:00:00,Site #3 - Lacamas Shores Boat Launch,10.3,Rain,NW,0-5,749.6,6.6,9,11.8,52,33.8,,No,No,No,No,No,,Water level was below the dock. Heavy rain with no wind. Trawl water had a lot of sediment but no target species. Trawl water level was about 25.4 cm.,
2021-12-31,13:50:00,Site #2 - Heritage Boat Launch,1.1,Partly Cloudy,S,0-5,758,2,8.6,12.8,46,23,,No,No,No,No,No,,Sample taken from the shore due to icy dock,
2022-01-05,14:30:00,Site #5 - Fallen Leaf Lake,10.2,Rain,N,0-5,,,,,,,,,,,,,,,
